2020-08-11 20:14:02,076 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3166341 数据获取中...
2020-08-11 20:14:02,422 | model_koubei.py | INFO  | 3788 博越 口碑：3166341 数据保存成功!
2020-08-11 20:14:02,422 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3161197 数据获取中...
2020-08-11 20:14:02,878 | model_koubei.py | INFO  | 3788 博越 口碑：3161197 数据保存成功!
2020-08-11 20:14:02,879 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3160036 数据获取中...
2020-08-11 20:14:03,315 | model_koubei.py | INFO  | 3788 博越 口碑：3160036 数据保存成功!
2020-08-11 20:14:03,316 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3156969 数据获取中...
2020-08-11 20:14:03,608 | model_koubei.py | INFO  | 3788 博越 口碑：3156969 数据保存成功!
2020-08-11 20:14:03,608 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3155533 数据获取中...
2020-08-11 20:14:03,944 | model_koubei.py | INFO  | 3788 博越 口碑：3155533 数据保存成功!
2020-08-11 20:14:03,944 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3155274 数据获取中...
2020-08-11 20:14:04,409 | model_koubei.py | INFO  | 3788 博越 口碑：3155274 数据保存成功!
2020-08-11 20:14:04,409 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3154994 数据获取中...
2020-08-11 20:14:04,738 | model_koubei.py | INFO  | 3788 博越 口碑：3154994 数据保存成功!
2020-08-11 20:14:04,738 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3154799 数据获取中...
2020-08-11 20:14:05,082 | model_koubei.py | INFO  | 3788 博越 口碑：3154799 数据保存成功!
2020-08-11 20:14:05,083 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3154355 数据获取中...
2020-08-11 20:14:05,272 | model_koubei.py | INFO  | 3788 博越 口碑：3154355 数据保存成功!
2020-08-11 20:14:05,273 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3154345 数据获取中...
2020-08-11 20:14:05,649 | model_koubei.py | INFO  | 3788 博越 口碑：3154345 数据保存成功!
2020-08-11 20:14:05,650 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3153543 数据获取中...
2020-08-11 20:14:05,874 | model_koubei.py | INFO  | 3788 博越 口碑：3153543 数据保存成功!
2020-08-11 20:14:05,874 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3149589 数据获取中...
2020-08-11 20:14:06,104 | model_koubei.py | INFO  | 3788 博越 口碑：3149589 数据保存成功!
2020-08-11 20:14:06,104 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3149399 数据获取中...
2020-08-11 20:14:06,402 | model_koubei.py | INFO  | 3788 博越 口碑：3149399 数据保存成功!
2020-08-11 20:14:06,402 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3148115 数据获取中...
2020-08-11 20:14:06,645 | model_koubei.py | INFO  | 3788 博越 口碑：3148115 数据保存成功!
2020-08-11 20:14:06,646 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3146567 数据获取中...
2020-08-11 20:14:06,909 | model_koubei.py | INFO  | 3788 博越 口碑：3146567 数据保存成功!
2020-08-11 20:14:06,910 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3146510 数据获取中...
2020-08-11 20:14:07,422 | model_koubei.py | INFO  | 3788 博越 口碑：3146510 数据保存成功!
2020-08-11 20:14:07,423 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3145833 数据获取中...
2020-08-11 20:14:07,667 | model_koubei.py | INFO  | 3788 博越 口碑：3145833 数据保存成功!
2020-08-11 20:14:07,667 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3145370 数据获取中...
2020-08-11 20:14:07,861 | model_koubei.py | INFO  | 3788 博越 口碑：3145370 数据保存成功!
2020-08-11 20:14:07,861 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3145179 数据获取中...
2020-08-11 20:14:08,196 | model_koubei.py | INFO  | 3788 博越 口碑：3145179 数据保存成功!
2020-08-11 20:14:08,196 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3145074 数据获取中...
2020-08-11 20:14:08,482 | model_koubei.py | INFO  | 3788 博越 口碑：3145074 数据保存成功!
2020-08-11 20:14:08,483 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3144471 数据获取中...
2020-08-11 20:14:08,838 | model_koubei.py | INFO  | 3788 博越 口碑：3144471 数据保存成功!
2020-08-11 20:14:08,838 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3142074 数据获取中...
2020-08-11 20:14:09,236 | model_koubei.py | INFO  | 3788 博越 口碑：3142074 数据保存成功!
2020-08-11 20:14:09,236 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3139061 数据获取中...
2020-08-11 20:14:09,609 | model_koubei.py | INFO  | 3788 博越 口碑：3139061 数据保存成功!
2020-08-11 20:14:09,609 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3137337 数据获取中...
2020-08-11 20:14:09,964 | model_koubei.py | INFO  | 3788 博越 口碑：3137337 数据保存成功!
2020-08-11 20:14:26,354 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3136125 数据获取中...
2020-08-11 20:14:26,719 | model_koubei.py | INFO  | 3788 博越 口碑：3136125 数据保存成功!
2020-08-11 20:14:26,719 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2797794 数据获取中...
2020-08-11 20:14:27,092 | model_koubei.py | INFO  | 3788 博越 口碑：2797794 数据保存成功!
2020-08-11 20:14:27,092 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3131616 数据获取中...
2020-08-11 20:14:27,568 | model_koubei.py | INFO  | 3788 博越 口碑：3131616 数据保存成功!
2020-08-11 20:14:27,568 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3128772 数据获取中...
2020-08-11 20:14:27,872 | model_koubei.py | INFO  | 3788 博越 口碑：3128772 数据保存成功!
2020-08-11 20:14:27,872 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3122525 数据获取中...
2020-08-11 20:14:28,309 | model_koubei.py | INFO  | 3788 博越 口碑：3122525 数据保存成功!
2020-08-11 20:14:28,310 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2841010 数据获取中...
2020-08-11 20:14:28,650 | model_koubei.py | INFO  | 3788 博越 口碑：2841010 数据保存成功!
2020-08-11 20:14:28,651 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3047984 数据获取中...
2020-08-11 20:14:29,009 | model_koubei.py | INFO  | 3788 博越 口碑：3047984 数据保存成功!
2020-08-11 20:14:29,010 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3117313 数据获取中...
2020-08-11 20:14:29,471 | model_koubei.py | INFO  | 3788 博越 口碑：3117313 数据保存成功!
2020-08-11 20:14:29,472 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3110326 数据获取中...
2020-08-11 20:14:29,820 | model_koubei.py | INFO  | 3788 博越 口碑：3110326 数据保存成功!
2020-08-11 20:14:29,820 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2784723 数据获取中...
2020-08-11 20:14:30,373 | model_koubei.py | INFO  | 3788 博越 口碑：2784723 数据保存成功!
2020-08-11 20:14:30,373 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3100395 数据获取中...
2020-08-11 20:14:30,786 | model_koubei.py | INFO  | 3788 博越 口碑：3100395 数据保存成功!
2020-08-11 20:14:30,787 | model_koubei.py | INFO  | 车系：3788 博越 口碑：2856563 数据获取中...
2020-08-11 20:14:31,046 | model_koubei.py | INFO  | 3788 博越 口碑：2856563 数据保存成功!
2020-08-11 20:14:31,047 | model_koubei.py | INFO  | 车系：3788 博越 口碑：3099285 数据获取中...
2020-08-11 20:14:31,431 | model_koubei.py | INFO  | 3788 博越 口碑：3099285 数据保存成功!
