行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
梓潼县,私房,徐州镇场镇,其他普通商品住房用地,住宿业,0.016000,拍卖出让,70,7.5200,下限:1.00上限:3.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2c6f5f9e-67bf-4723-a99a-8a1ff72a49be,2020-08-26 13:24:44
广安市本级,枣山园区GC2017-107,枣山园区枣山大道与桂花路交汇处，紧邻时代印象项目,其他普通商品住房用地,房地产业,5.958100,拍卖出让,70,13000.0000,下限:1.00上限:3.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3d4e0542-24f8-4da8-9b6f-0ccdc9e33a79,2020-08-26 13:24:47
会东县,东拍2017-2号,会东县鲹鱼河镇垭口村,其他普通商品住房用地,房地产业,2.334357,拍卖出让,70,7050.0000,下限:2.60上限:3.30,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=83ac32c9-21f0-4331-ba47-e336f0677ac0,2020-08-26 13:24:49
梓潼县,私房,定远乡场镇,其他普通商品住房用地,住宿业,0.008640,拍卖出让,70,3.2400,下限:1.00上限:3.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cab5a3cb-d109-48c9-88b5-43f514239146,2020-08-26 13:24:52
梓潼县,私房,定远乡场镇,其他普通商品住房用地,住宿业,0.008640,拍卖出让,70,3.2400,下限:1.00上限:3.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cc778221-fa90-40aa-b56a-796157efc182,2020-08-26 13:24:55
仁寿县,仁寿亿辉房地产开发有限公司,仁寿县兴盛镇五星社区,其他普通商品住房用地,房地产业,3.348900,拍卖出让,70,13500.0000,下限:1.50上限:2.20,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ff35d80f-90b8-4b45-bf4d-ef805bdb536b,2020-08-26 13:24:58
乐至县,(2017)52号地块,报国寺村七社、九社,中低价位、中小套型普通商品住房用地,房地产业,5.614100,拍卖出让,70,13165.0645,下限:1.00上限:3.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1431a5ef-1eab-4db4-9f7a-7053ec61d271,2020-08-26 13:25:01
荣县,废旧资源和废旧材料回收加工,荣县过水镇刘家庙村1社,工业用地,废弃资源和废旧材料回收加工业,1.098164,挂牌出让,50,189.4338,下限:0.70上限:0.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e82ba991-6ad0-4313-a648-dd4d00b44efb,2020-08-26 13:25:03
大竹县,DZG114,白塔街道白塔村2组、7组（DZP102号宗地旁）,科教用地,教育业,8.023400,挂牌出让,50,5600.0000,下限:0.00上限:1.30,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=14f7fb72-2ca7-4538-a890-1c6973047761,2020-08-26 13:25:06
新都区,成都特隆美储能技术有限公司,新都区新都街道永兴村4、5组,工业用地,专用设备制造业,2.666667,挂牌出让,20,320.0000,下限:1.00上限:3.00,2018年02月06日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b8a0ea32-b231-4ae0-86be-358251c1533b,2020-08-26 13:25:08
营山县,天星粤康制药,县城工业集中区,工业用地,医药制造业,8.000000,挂牌出让,50,672.0000,下限:0.70上限:0.00,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=47fa3686-e215-47fd-9f84-3b42ed2f95cb,2020-08-26 13:25:11
康定县,公主桥片区宗地出让,康定市炉城镇公主桥,其他普通商品住房用地,其他服务业,1.058800,拍卖出让,其他普通商品住房用地70年;其他商服用地40年;,5637.0500,下限:1.00上限:1.00,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4b53b8bb-e5cd-4952-9c14-3fd0705eaadf,2020-08-26 13:25:13
梓潼县,私房,观义镇场镇,其他普通商品住房用地,住宿业,0.069788,拍卖出让,70,29.3110,下限:1.00上限:1.50,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5326e5cb-6d65-4ed7-95b9-30054c806548,2020-08-26 13:25:16
德阳市本级,生产光纤、光缆、电国特种通讯设备,市区洪湖路北侧,工业用地,信息传输、计算机服务和软件业,3.652527,挂牌出让,50,745.1154,下限:0.70上限:0.00,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5aaccf96-1836-437a-8e44-6659ec9b88dc,2020-08-26 13:25:18
梓潼县,私房,石牛镇场镇,其他普通商品住房用地,住宿业,0.077520,拍卖出让,70,39.1476,下限:1.00上限:3.00,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f544326a-a6ab-4cf9-8ca4-2589d5c329c6,2020-08-26 13:25:21
峨眉山市,峨眉山市嘉峨房地产开发有限公司,"峨眉山市绥山镇大南村7组及大南村村委会,胜利镇十里村3、4、11组",其他普通商品住房用地,房地产业,4.557600,拍卖出让,其他普通商品住房用地70年;批发零售用地40年;,7000.0000,下限:1.00上限:1.80,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cf416d8a-cf18-4609-a0a5-18552e0539a8,2020-08-26 13:25:23
康定县,公主桥片区宗地出让,康定市炉城镇公主桥,其他商服用地,其他服务业,0.318420,拍卖出让,40,2211.1100,下限:1.00上限:1.00,2018年02月05日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dc35690b-d630-494f-b883-0da94eb09bc4,2020-08-26 13:25:26
天全县,中国石油天然气股份有限公司四川雅安销售分公司,天全县城厢镇沙坝村,批发零售用地,零售业,0.521279,挂牌出让,40,650.0000,下限:0.00上限:1.60,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=600bca01-99d4-4fcd-9ec5-d6dc8c369461,2020-08-26 13:25:29
武胜县,沿口镇仁和六街与上东街交叉口东北侧房地产开发,沿口镇仁和六街与上东街交叉口东北侧,中低价位、中小套型普通商品住房用地,房地产业,5.470030,拍卖出让,住宅70年，商服40年,32900.0000,下限:1.00上限:3.00,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e76e73cc-c28a-430b-8556-85c6a2dd6132,2020-08-26 13:25:31
威远县,湿地公园小区,威远县严陵镇平山村7组,其他普通商品住房用地,房地产业,4.148528,拍卖出让,70,14810.2450,下限:1.00上限:2.00,2018年02月02日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=01cdb86b-6661-482e-824e-8269096f634a,2020-08-26 13:25:34
