行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
什邡市,四川卓奥交通设施工程有限公司,四川什邡经济开发区（北区）海淀路与团结路交汇处,工业用地,其它,1.573530,挂牌出让,50,233.0000,下限:1.00上限:0.00,2018年07月16日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=dca13746-18ca-4758-85f9-bc7d818e057c,2020-08-25 16:02:54
蓬溪县,房地产开发,赤城镇文星路体育馆附近,中低价位、中小套型普通商品住房用地,房地产业,0.621463,拍卖出让,70,2376.6000,下限:1.00上限:4.30,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=06c750aa-186f-48e7-a982-fd98753a40f2,2020-08-25 16:02:56
合江县,石龙镇商住楼,石龙镇太平场上,其他普通商品住房用地,房地产业,0.187938,拍卖出让,70,177.6033,下限:1.00上限:1.97,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2e1ceda6-fbac-46e3-856e-1a14bb8c36af,2020-08-25 16:02:59
自贡市本级,南湖片区D－20地块商住楼,南湖片区A－34地块,其他普通商品住房用地,房地产业,11.607844,拍卖出让,70,59200.0044,下限:1.00上限:2.50,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3c09b615-8a15-402b-9728-e8a8b3c6429f,2020-08-25 16:03:02
自贡市本级,南湖片区A－34地块商住楼,南湖片区A－34地块,商务金融用地,房地产业,22.428719,拍卖出让,40,114386.4669,下限:1.00上限:2.50,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7dc530d5-8a19-4d8a-b751-bb0455885619,2020-08-25 16:03:05
沙湾区,公用设施营业网点,太平镇老码头村7组,批发零售用地,零售业,1.291301,拍卖出让,40,2600.0000,下限:0.00上限:0.50,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a160f7ba-1f46-43f5-b743-8b51bccc625b,2020-08-25 16:03:08
东坡区,眉山市万海房地产开发有限公司,思蒙镇,其他普通商品住房用地,房地产业,1.808549,拍卖出让,70,1844.8400,下限:1.00上限:1.80,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a1993794-2779-440d-b307-5a713766c9f5,2020-08-25 16:03:10
合江县,临港工投商住43363.58,泸州国家高新区生态工业园区（榕山镇）,其他普通商品住房用地,房地产业,4.336358,拍卖出让,70,2927.0430,下限:1.00上限:3.00,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0944e7b8-802a-4b45-99bb-76c135b22a13,2020-08-25 16:03:13
合江县,临港工投47106.57,泸州国家高新区生态工业园区（榕山镇）,其他普通商品住房用地,房地产业,4.710657,拍卖出让,70,3038.3757,下限:1.00上限:3.00,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=51924985-4bcc-40f9-b983-bda6bc29f1a8,2020-08-25 16:03:15
合江县,临港工投32098,泸州国家高新区生态工业园区,其他普通商品住房用地,房地产业,3.209800,拍卖出让,70,2166.6150,下限:1.00上限:3.00,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=747d2dc2-76d9-4d16-839f-74091c068ef7,2020-08-25 16:03:18
合江县,临港工投商住46718.92,大桥镇食品工业园区（双桥村3、4社）,其他普通商品住房用地,房地产业,4.671892,拍卖出让,70,3854.3120,下限:1.00上限:3.00,2018年07月13日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9d159efd-bcb4-4ad2-bc23-04153dfd4414,2020-08-25 16:03:21
崇州市,四川王一食品有限公司,崇州市羊马镇福田村2、15组,工业用地,食品制造业,1.666860,挂牌出让,20,180.0209,下限:1.00上限:3.00,2018年07月12日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=41651d40-a69b-4196-89fb-470c7d818f84,2020-08-25 16:03:24
