行政区域,项目名称,项目位置,土地用途,行业分类,面积(公顷),供地方式,土地使用年限,成交价(万元),约定容积率,合同签订日期,数据来源,数据写入日期
高县,四川宜宾凯华生态农业科技开发有限公司,沙河镇凤新村杨家湾组,工业用地,农业,1.347400,挂牌出让,30,144.1718,下限:1.00上限:0.00,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ac567697-7b63-4cff-981a-d107c060a219,2020-08-26 16:55:10
高县,高县大雁岭旅游开发有限公司,大窝镇大屋村豆沙坝组,其他商服用地,其他服务业,1.241200,挂牌出让,40,533.7160,下限:上限:1.50,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=df97bc15-c3ea-4545-9942-6c4f67dabfa2,2020-08-26 16:55:13
通江县,学府名邸,通江县高明新区E-06-09地块,城镇住宅用地,房地产业,5.699700,拍卖出让,70,10200.0000,下限:1.00上限:2.50,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a1b4432b-df7a-4453-b104-c8668da37f57,2020-08-26 16:55:16
犍为县,乐山犍为世纪旅游发展有限公司,犍为县罗城镇七星村3组,商务金融用地,其他金融服务,2.468100,挂牌出让,40,6500.0000,下限:上限:2.00,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=05e04117-1b2e-4281-8f72-acfdd1a52da1,2020-08-26 16:55:18
青白江区,成都红旗油脂有限公司,青白江区车站东路以北,工业用地,仓储业,1.167791,挂牌出让,20,90.8192,下限:1.00上限:3.00,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0c5ffb9b-312c-4215-af0c-4d93612fe3f5,2020-08-26 16:55:21
犍为县,乐山犍为世纪旅游发展有限公司建设项目,犍为县罗城镇七星村3组,商务金融用地,其他金融服务,1.262000,挂牌出让,40,3400.0000,下限:上限:2.00,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=55c298d4-0574-48d1-8add-33d9c50f29ff,2020-08-26 16:55:24
市中区,内市中地拍（2019）04号,内江市城南乐贤片区C12-02/01、C12-04/01地块,城镇住宅用地,房地产业,11.993170,拍卖出让,70,26444.9399,下限:1.00上限:2.50,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c18dffe2-88b1-464e-8706-8081625a1fa8,2020-08-26 16:55:27
青白江区,中储粮成都青白江仓储有限责任公司,青白江区粮食路以西、益海路以南,工业用地,仓储业,3.427307,挂牌出让,20,312.7384,下限:1.00上限:3.00,2019年08月01日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c36a57f8-b602-4eb4-ac43-389e4436dce6,2020-08-26 16:55:30
朝天区,广朝国储1374号宗地,广元市朝天区荣乐村,其他商服用地,商务服务业,0.234451,挂牌出让,40,75.0000,下限:0.00上限:1.00,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4b188282-7b28-4e10-a0bc-150f8cf4117c,2020-08-26 16:55:33
彭州市,成都亿泰气体有限公司,隆丰镇富集村、新华村,工业用地,石油加工、炼焦及核燃料加工业,0.684000,挂牌出让,20,138.5100,下限:0.40上限:,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9802fd37-ecb2-4af6-bccc-03726a06b4e7,2020-08-26 16:55:36
东兴区,内地挂（2019）02号,内江高新区白马园区BM06-B03地块,工业用地,房屋和土木工程业,12.464617,挂牌出让,50,2094.0557,下限:0.80上限:0.00,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a60c9d58-c190-4c08-a00c-cdc6fb0f3139,2020-08-26 16:55:39
朝天区,广朝国储1375号宗地,广元市朝天区荣乐村,其他商服用地,商务服务业,1.918469,挂牌出让,40,614.0000,下限:0.00上限:1.50,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=af3de8c1-59e0-4ff1-a8d6-37226f0b0981,2020-08-26 16:55:42
朝天区,广朝国储1373号宗地,广元市朝天区曾家镇荣乐村,其他商服用地,商务服务业,2.218747,挂牌出让,40,688.0000,下限:0.00上限:1.20,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=c70e8615-be00-4913-bcf2-a98feef0e764,2020-08-26 16:55:44
朝天区,广朝国储1376号宗地,广元市朝天区曾家镇荣乐村,其他商服用地,商务服务业,1.131434,挂牌出让,40,351.0000,下限:0.00上限:1.00,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f889357c-3d3f-4c09-85a9-ae5e1cb1cb08,2020-08-26 16:55:47
北川羌族自治县,张木松、张甘亮用地项目,曲山镇石椅村二组,旅馆用地,住宿业,0.456439,挂牌出让,40,132.3700,下限:0.00上限:1.00,2019年07月31日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=29baae86-2b87-4223-b2ae-bc42444850ed,2020-08-26 16:55:49
高坪区,丰召仓储（南充）有限公司用地,南充现代物流园拟出让Ec－5－2－1地块,仓储用地,仓储业,9.196900,挂牌出让,50,1324.3536,下限:1.00上限:2.00,2019年07月30日,https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=231e8c64-f3e6-4781-b69a-31dd10b06ec5,2020-08-26 16:55:52
