2020-08-13 01:44:56,142 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 01:44:56.138190
2020-08-13 01:44:56,186 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 01:44:56,187 | BaseDB.py | INFO  | 没有接收新信息！
2020-08-13 01:44:56,188 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 01:44:56.188223
2020-08-13 01:44:56,188 | BaseDB.py | INFO  | 程序执行用时：0:00:00.050033s
2020-08-13 01:44:56,188 | BaseDB.py | INFO  | ********************
2020-08-13 01:47:09,910 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 01:47:09.908698
2020-08-13 01:47:09,952 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 01:47:10,132 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 01:47:10,133 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 01:47:10.133850
2020-08-13 01:47:10,133 | BaseDB.py | INFO  | 程序执行用时：0:00:00.225152s
2020-08-13 01:47:10,133 | BaseDB.py | INFO  | ********************
2020-08-13 01:49:03,513 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 01:49:03.508092
2020-08-13 01:49:03,617 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 01:49:03,882 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 01:49:03,883 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 01:49:03.883343
2020-08-13 01:49:03,884 | BaseDB.py | INFO  | 程序执行用时：0:00:00.375251s
2020-08-13 01:49:03,885 | BaseDB.py | INFO  | ********************
2020-08-13 02:00:22,791 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:00:22.789113
2020-08-13 02:00:22,848 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:01:41,980 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:01:41.978700
2020-08-13 02:01:42,029 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:01:42,320 | BaseDB.py | INFO  | 成功写入：2 条数据
2020-08-13 02:01:42,321 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:01:42.321929
2020-08-13 02:01:42,321 | BaseDB.py | INFO  | 程序执行用时：0:00:00.343229s
2020-08-13 02:01:42,321 | BaseDB.py | INFO  | ********************
2020-08-13 02:02:40,373 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:02:40.371518
2020-08-13 02:02:40,410 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:02:40,622 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 02:02:40,623 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:02:40.623688
2020-08-13 02:02:40,623 | BaseDB.py | INFO  | 程序执行用时：0:00:00.252170s
2020-08-13 02:02:40,623 | BaseDB.py | INFO  | ********************
2020-08-13 02:04:32,278 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:04:32.276617
2020-08-13 02:04:32,313 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:04:32,548 | BaseDB.py | INFO  | 成功写入：2 条数据
2020-08-13 02:04:32,549 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:04:32.549800
2020-08-13 02:04:32,549 | BaseDB.py | INFO  | 程序执行用时：0:00:00.273183s
2020-08-13 02:04:32,549 | BaseDB.py | INFO  | ********************
2020-08-13 02:05:40,814 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:05:40.812680
2020-08-13 02:05:40,851 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:05:41,067 | BaseDB.py | INFO  | 成功写入：2 条数据
2020-08-13 02:05:41,068 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:05:41.068855
2020-08-13 02:05:41,069 | BaseDB.py | INFO  | 程序执行用时：0:00:00.256175s
2020-08-13 02:05:41,069 | BaseDB.py | INFO  | ********************
2020-08-13 02:08:15,632 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:08:15.630242
2020-08-13 02:08:15,674 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:08:15,993 | BaseDB.py | INFO  | 成功写入：2 条数据
2020-08-13 02:08:15,994 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:08:15.994486
2020-08-13 02:08:15,994 | BaseDB.py | INFO  | 程序执行用时：0:00:00.364244s
2020-08-13 02:08:15,994 | BaseDB.py | INFO  | ********************
2020-08-13 02:12:49,389 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:12:49.387993
2020-08-13 02:12:49,429 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:12:49,740 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 02:12:49,741 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:12:49.741227
2020-08-13 02:12:49,742 | BaseDB.py | INFO  | 程序执行用时：0:00:00.353234s
2020-08-13 02:12:49,742 | BaseDB.py | INFO  | ********************
2020-08-13 02:14:55,065 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:14:55.063511
2020-08-13 02:14:55,111 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:14:55,389 | BaseDB.py | INFO  | 成功写入：3 条数据
2020-08-13 02:14:55,390 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:14:55.390730
2020-08-13 02:14:55,390 | BaseDB.py | INFO  | 程序执行用时：0:00:00.327219s
2020-08-13 02:14:55,390 | BaseDB.py | INFO  | ********************
2020-08-13 02:28:23,832 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:28:23.831923
2020-08-13 02:28:23,870 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:28:24,149 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 02:28:24,150 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:28:24.150137
2020-08-13 02:28:24,150 | BaseDB.py | INFO  | 程序执行用时：0:00:00.318214s
2020-08-13 02:28:24,151 | BaseDB.py | INFO  | ********************
2020-08-13 02:30:32,186 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:30:32.184199
2020-08-13 02:30:32,223 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:30:32,534 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-13 02:30:32,535 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:30:32.535430
2020-08-13 02:30:32,535 | BaseDB.py | INFO  | 程序执行用时：0:00:00.351231s
2020-08-13 02:30:32,535 | BaseDB.py | INFO  | ********************
2020-08-13 02:31:43,473 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:31:43.471401
2020-08-13 02:31:43,523 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:31:43,817 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 02:31:43,818 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:31:43.818080
2020-08-13 02:31:43,818 | BaseDB.py | INFO  | 程序执行用时：0:00:00.346679s
2020-08-13 02:31:43,819 | BaseDB.py | INFO  | ********************
2020-08-13 02:32:13,562 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:32:13.560641
2020-08-13 02:32:13,610 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:32:13,902 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-13 02:32:13,902 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:32:13.902870
2020-08-13 02:32:13,903 | BaseDB.py | INFO  | 程序执行用时：0:00:00.342229s
2020-08-13 02:32:13,903 | BaseDB.py | INFO  | ********************
2020-08-13 02:32:41,995 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:32:41.994722
2020-08-13 02:32:42,044 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:32:42,265 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 02:32:42,266 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:32:42.266903
2020-08-13 02:32:42,266 | BaseDB.py | INFO  | 程序执行用时：0:00:00.272181s
2020-08-13 02:32:42,267 | BaseDB.py | INFO  | ********************
2020-08-13 02:32:53,368 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 02:32:53.367598
2020-08-13 02:32:53,410 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 02:32:53,640 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-13 02:32:53,641 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 02:32:53.641724
2020-08-13 02:32:53,642 | BaseDB.py | INFO  | 程序执行用时：0:00:00.274126s
2020-08-13 02:32:53,642 | BaseDB.py | INFO  | ********************
2020-08-13 03:22:05,320 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:22:05.317222
2020-08-13 03:22:05,357 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 03:22:05,558 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 03:22:05,558 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 03:22:05.558384
2020-08-13 03:22:05,559 | BaseDB.py | INFO  | 程序执行用时：0:00:00.241162s
2020-08-13 03:22:05,559 | BaseDB.py | INFO  | ********************
2020-08-13 03:22:33,589 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:22:33.588675
2020-08-13 03:22:33,631 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 03:22:33,858 | BaseDB.py | INFO  | 成功写入：1 条数据
2020-08-13 03:22:33,858 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 03:22:33.858857
2020-08-13 03:22:33,859 | BaseDB.py | INFO  | 程序执行用时：0:00:00.270182s
2020-08-13 03:22:33,859 | BaseDB.py | INFO  | ********************
2020-08-13 03:26:19,693 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:26:19.691224
2020-08-13 03:26:19,746 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 03:26:20,029 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 03:26:20,030 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 03:26:20.030451
2020-08-13 03:26:20,030 | BaseDB.py | INFO  | 程序执行用时：0:00:00.339227s
2020-08-13 03:26:20,031 | BaseDB.py | INFO  | ********************
2020-08-13 03:26:41,544 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:26:41.542702
2020-08-13 03:26:41,606 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 03:26:41,774 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 03:26:41.774857
2020-08-13 03:26:41,775 | BaseDB.py | INFO  | 程序执行用时：0:00:00.232155s
2020-08-13 03:26:41,775 | BaseDB.py | INFO  | ********************
2020-08-13 03:28:36,178 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:28:36.176888
2020-08-13 03:28:36,231 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 03:28:36,456 | BaseDB.py | INFO  | 没有写入新信息！
2020-08-13 03:28:36,457 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 03:28:36.457074
2020-08-13 03:28:36,457 | BaseDB.py | INFO  | 程序执行用时：0:00:00.280186s
2020-08-13 03:28:36,458 | BaseDB.py | INFO  | ********************
2020-08-13 03:29:11,595 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:29:11.593706
2020-08-13 03:29:11,635 | BaseDB.py | INFO  | MDB数据库查询到10条数据。
2020-08-13 03:29:11,983 | BaseDB.py | INFO  | 成功写入：3 条数据
2020-08-13 03:29:11,984 | BaseDB.py | INFO  | 程序结束时间：2020-08-13 03:29:11.983967
2020-08-13 03:29:11,984 | BaseDB.py | INFO  | 程序执行用时：0:00:00.390261s
2020-08-13 03:29:11,984 | BaseDB.py | INFO  | ********************
2020-08-13 03:29:41,862 | BaseDB.py | INFO  | 程序开始时间：2020-08-13 03:29:41.860526
